datetime,Kp
2026-01-15 00:00:00+00:00,2.667
2026-01-15 03:00:00+00:00,2.0
2026-01-15 06:00:00+00:00,2.667
2026-01-15 09:00:00+00:00,2.333
2026-01-15 12:00:00+00:00,1.0
2026-01-15 15:00:00+00:00,3.0
2026-01-15 18:00:00+00:00,3.0
2026-01-15 21:00:00+00:00,2.333
2026-01-16 00:00:00+00:00,3.333
2026-01-16 03:00:00+00:00,3.667
2026-01-16 06:00:00+00:00,3.333
2026-01-16 09:00:00+00:00,2.667
2026-01-16 12:00:00+00:00,3.333
2026-01-16 15:00:00+00:00,5.0
2026-01-16 18:00:00+00:00,4.0
2026-01-16 21:00:00+00:00,4.667
2026-01-17 00:00:00+00:00,5.0
2026-01-17 03:00:00+00:00,3.333
2026-01-17 06:00:00+00:00,4.0
2026-01-17 09:00:00+00:00,3.0
2026-01-17 12:00:00+00:00,3.0
2026-01-17 15:00:00+00:00,3.667
2026-01-17 18:00:00+00:00,4.0
2026-01-17 21:00:00+00:00,3.667
2026-01-18 00:00:00+00:00,2.667
2026-01-18 03:00:00+00:00,3.667
2026-01-18 06:00:00+00:00,2.667
2026-01-18 09:00:00+00:00,2.333
2026-01-18 12:00:00+00:00,2.333
2026-01-18 15:00:00+00:00,2.667
2026-01-18 18:00:00+00:00,3.667
2026-01-18 21:00:00+00:00,3.0
2026-01-19 00:00:00+00:00,3.333
2026-01-19 03:00:00+00:00,0.667
2026-01-19 06:00:00+00:00,0.333
2026-01-19 09:00:00+00:00,1.0
2026-01-19 12:00:00+00:00,1.333
2026-01-19 15:00:00+00:00,3.0
2026-01-19 18:00:00+00:00,8.333
2026-01-19 21:00:00+00:00,8.667
2026-01-20 00:00:00+00:00,6.667
2026-01-20 03:00:00+00:00,5.667
2026-01-20 06:00:00+00:00,7.333
2026-01-20 09:00:00+00:00,7.667
2026-01-20 12:00:00+00:00,7.333
2026-01-20 15:00:00+00:00,7.333
2026-01-20 18:00:00+00:00,7.333
2026-01-20 21:00:00+00:00,7.667
2026-01-21 00:00:00+00:00,7.333
2026-01-21 03:00:00+00:00,6.667
2026-01-21 06:00:00+00:00,7.0
2026-01-21 09:00:00+00:00,6.333
2026-01-21 12:00:00+00:00,4.333
2026-01-21 15:00:00+00:00,4.0
2026-01-21 18:00:00+00:00,3.333
2026-01-21 21:00:00+00:00,2.667
2026-01-22 00:00:00+00:00,4.0
