datetime,Bz_GSM,speed_kms,Kp
2026-01-15 00:00:00,1.1,567.0,2.7
2026-01-15 01:00:00,-0.6,550.0,2.7
2026-01-15 02:00:00,0.0,542.0,2.7
2026-01-15 03:00:00,2.3,521.0,2.0
2026-01-15 04:00:00,1.3,509.0,2.0
2026-01-15 05:00:00,-1.7,486.0,2.0
2026-01-15 06:00:00,-2.5,495.0,2.7
2026-01-15 07:00:00,1.8,549.0,2.7
2026-01-15 08:00:00,-4.3,571.0,2.7
2026-01-15 09:00:00,-2.4,617.0,2.3
2026-01-15 10:00:00,-0.9,620.0,2.3
2026-01-15 11:00:00,0.8,628.0,2.3
2026-01-15 12:00:00,1.5,639.0,1.0
2026-01-15 13:00:00,0.9,587.0,1.0
2026-01-15 14:00:00,0.3,576.0,1.0
2026-01-15 15:00:00,-1.6,593.0,3.0
2026-01-15 16:00:00,-0.4,621.0,3.0
2026-01-15 17:00:00,-0.7,628.0,3.0
2026-01-15 18:00:00,-0.5,626.0,3.0
2026-01-15 19:00:00,-1.9,615.0,3.0
2026-01-15 20:00:00,-0.5,611.0,3.0
2026-01-15 21:00:00,2.5,599.0,2.3
2026-01-15 22:00:00,1.6,607.0,2.3
2026-01-15 23:00:00,1.8,587.0,2.3
2026-01-16 00:00:00,2.2,550.0,3.3
2026-01-16 01:00:00,0.5,550.0,3.3
2026-01-16 02:00:00,4.3,563.0,3.3
2026-01-16 03:00:00,2.5,594.0,3.7
2026-01-16 04:00:00,0.4,664.0,3.7
2026-01-16 05:00:00,2.0,707.0,3.7
2026-01-16 06:00:00,-1.4,688.0,3.3
2026-01-16 07:00:00,1.5,679.0,3.3
2026-01-16 08:00:00,1.0,679.0,3.3
2026-01-16 09:00:00,-0.4,656.0,2.7
2026-01-16 10:00:00,2.3,612.0,2.7
2026-01-16 11:00:00,5.8,604.0,2.7
2026-01-16 12:00:00,2.6,608.0,3.3
2026-01-16 13:00:00,4.0,653.0,3.3
2026-01-16 14:00:00,-2.3,656.0,3.3
2026-01-16 15:00:00,-2.1,657.0,5.0
2026-01-16 16:00:00,3.6,663.0,5.0
2026-01-16 17:00:00,-3.1,686.0,5.0
2026-01-16 18:00:00,2.1,672.0,4.0
2026-01-16 19:00:00,1.9,695.0,4.0
2026-01-16 20:00:00,1.8,690.0,4.0
2026-01-16 21:00:00,0.9,680.0,4.7
2026-01-16 22:00:00,-0.0,691.0,4.7
2026-01-16 23:00:00,3.5,671.0,4.7
2026-01-17 00:00:00,-0.1,674.0,5.0
2026-01-17 01:00:00,-1.2,679.0,5.0
2026-01-17 02:00:00,-2.0,690.0,5.0
2026-01-17 03:00:00,1.5,739.0,3.3
2026-01-17 04:00:00,0.7,741.0,3.3
2026-01-17 05:00:00,2.5,732.0,3.3
2026-01-17 06:00:00,1.9,717.0,4.0
2026-01-17 07:00:00,-0.2,733.0,4.0
2026-01-17 08:00:00,-0.3,702.0,4.0
2026-01-17 09:00:00,0.9,709.0,3.0
2026-01-17 10:00:00,-0.0,693.0,3.0
2026-01-17 11:00:00,-0.8,692.0,3.0
2026-01-17 12:00:00,-0.8,708.0,3.0
2026-01-17 13:00:00,0.3,678.0,3.0
2026-01-17 14:00:00,0.9,673.0,3.0
2026-01-17 15:00:00,2.5,705.0,3.7
2026-01-17 16:00:00,0.4,700.0,3.7
2026-01-17 17:00:00,-0.5,694.0,3.7
2026-01-17 18:00:00,1.3,699.0,4.0
2026-01-17 19:00:00,0.5,705.0,4.0
2026-01-17 20:00:00,1.3,696.0,4.0
2026-01-17 21:00:00,-0.6,688.0,3.7
2026-01-17 22:00:00,-2.5,708.0,3.7
2026-01-17 23:00:00,0.4,690.0,3.7
2026-01-18 00:00:00,2.8,681.0,2.7
2026-01-18 01:00:00,1.4,682.0,2.7
2026-01-18 02:00:00,0.3,673.0,2.7
2026-01-18 03:00:00,0.0,677.0,3.7
2026-01-18 04:00:00,0.6,662.0,3.7
2026-01-18 05:00:00,-0.8,640.0,3.7
2026-01-18 06:00:00,0.1,626.0,2.7
2026-01-18 07:00:00,-0.9,615.0,2.7
2026-01-18 08:00:00,-1.3,609.0,2.7
2026-01-18 09:00:00,-0.8,574.0,2.3
2026-01-18 10:00:00,-1.2,565.0,2.3
2026-01-18 11:00:00,-1.9,556.0,2.3
2026-01-18 12:00:00,-2.3,552.0,2.3
2026-01-18 13:00:00,-2.8,535.0,2.3
2026-01-18 14:00:00,-2.2,528.0,2.3
2026-01-18 15:00:00,-2.7,541.0,2.7
2026-01-18 16:00:00,-1.2,523.0,2.7
2026-01-18 17:00:00,-1.7,498.0,2.7
2026-01-18 18:00:00,-2.9,497.0,3.7
2026-01-18 19:00:00,-2.9,497.0,3.7
2026-01-18 20:00:00,-2.5,487.0,3.7
2026-01-18 21:00:00,-2.7,481.0,3.0
2026-01-18 22:00:00,-2.7,480.0,3.0
2026-01-18 23:00:00,-2.6,466.0,3.0
2026-01-19 00:00:00,-2.7,469.0,3.3
2026-01-19 01:00:00,-1.2,460.0,3.3
2026-01-19 02:00:00,1.7,471.0,3.3
2026-01-19 03:00:00,1.0,462.0,0.7
2026-01-19 04:00:00,-1.4,443.0,0.7
2026-01-19 05:00:00,0.5,433.0,0.7
2026-01-19 06:00:00,0.3,430.0,0.3
2026-01-19 07:00:00,2.4,430.0,0.3
2026-01-19 08:00:00,1.4,423.0,0.3
2026-01-19 09:00:00,-0.0,418.0,1.0
2026-01-19 10:00:00,-0.6,415.0,1.0
2026-01-19 11:00:00,-0.7,430.0,1.0
2026-01-19 12:00:00,1.1,429.0,1.3
2026-01-19 13:00:00,0.2,426.0,1.3
2026-01-19 14:00:00,-1.9,421.0,1.3
2026-01-19 15:00:00,-2.7,423.0,3.0
2026-01-19 16:00:00,-1.7,419.0,3.0
2026-01-19 17:00:00,-3.8,431.0,3.0
2026-01-19 18:00:00,-1.0,441.0,8.3
2026-01-19 19:00:00,-5.4,739.0,8.3
2026-01-19 20:00:00,-5.7,1108.0,8.3
2026-01-19 21:00:00,-21.8,1121.0,8.7
2026-01-19 22:00:00,58.3,1084.0,8.7
2026-01-19 23:00:00,58.9,1074.0,8.7
2026-01-20 00:00:00,52.7,1054.0,6.7
2026-01-20 01:00:00,36.9,1034.0,6.7
2026-01-20 02:00:00,22.4,964.0,6.7
2026-01-20 03:00:00,10.1,923.0,5.7
2026-01-20 04:00:00,1.1,917.0,5.7
2026-01-20 05:00:00,-3.5,909.0,5.7
2026-01-20 06:00:00,-18.0,959.0,7.3
2026-01-20 07:00:00,-19.3,969.0,7.3
2026-01-20 08:00:00,-18.1,954.0,7.3
2026-01-20 09:00:00,-16.3,951.0,7.7
2026-01-20 10:00:00,-14.5,951.0,7.7
2026-01-20 11:00:00,-8.6,948.0,7.7
2026-01-20 12:00:00,-3.8,951.0,7.3
2026-01-20 13:00:00,-8.2,924.0,7.3
2026-01-20 14:00:00,-9.4,906.0,7.3
2026-01-20 15:00:00,-7.9,882.0,7.3
2026-01-20 16:00:00,-5.1,867.0,7.3
2026-01-20 17:00:00,-4.3,862.0,7.3
2026-01-20 18:00:00,-13.4,850.0,7.3
2026-01-20 19:00:00,-11.1,850.0,7.3
2026-01-20 20:00:00,-10.5,837.0,7.3
2026-01-20 21:00:00,-12.9,843.0,7.7
2026-01-20 22:00:00,-11.4,817.0,7.7
2026-01-20 23:00:00,-8.6,796.0,7.7
2026-01-21 00:00:00,-4.0,782.0,7.3
2026-01-21 01:00:00,-3.3,771.0,7.3
2026-01-21 02:00:00,5.3,758.0,7.3
