station,datetime,TEC,Bz_GSM,speed_kms,Kp,TEC_baseline,TEC_disturbance,TEC_lag1,Bz_lag1,Kp_lag1,speed_lag1,TEC_lag2,Bz_lag2,Kp_lag2,speed_lag2,TEC_lag3,Bz_lag3,Kp_lag3,speed_lag3,target_1h,target_3h,target_6h,risk_1h
DRDN,2026-01-15 03:00:00,-76.07107396640471,2.3,521.0,2.0,-65.26430042262996,-10.806773543774751,-70.37222134604356,0.0,2.7,542.0,-60.15637949921634,-0.6,2.7,550.0,-52.18058929004609,1.1,2.7,567.0,-9.86098861012671,-4.801474108608332,-6.426686242202251,Green
DRDN,2026-01-15 04:00:00,-80.23320995617027,1.3,509.0,2.0,-70.37222134604356,-9.86098861012671,-76.07107396640471,2.3,2.0,521.0,-70.37222134604356,0.0,2.7,542.0,-60.15637949921634,-0.6,2.7,550.0,-11.1472353184585,1.8877640751885136,-6.331908725507986,Green
DRDN,2026-01-15 05:00:00,-84.36888297468263,-1.7,486.0,2.0,-73.22164765622414,-11.1472353184585,-80.23320995617027,1.3,2.0,509.0,-76.07107396640471,2.3,2.0,521.0,-70.37222134604356,0.0,2.7,542.0,-4.801474108608332,6.450954843451612,1.6883279328364154,Green
DRDN,2026-01-15 06:00:00,-82.95361606989583,-2.5,495.0,2.7,-78.1521419612875,-4.801474108608332,-84.36888297468263,-1.7,2.0,486.0,-80.23320995617027,1.3,2.0,509.0,-76.07107396640471,2.3,2.0,521.0,1.8877640751885136,-6.426686242202251,5.528865367100465,Green
DRDN,2026-01-15 07:00:00,-76.45768180579324,1.8,549.0,2.7,-78.34544588098176,1.8877640751885136,-82.95361606989583,-2.5,2.7,495.0,-84.36888297468263,-1.7,2.0,486.0,-80.23320995617027,1.3,2.0,509.0,6.450954843451612,-6.331908725507986,6.4568485500685,Green
DRDN,2026-01-15 08:00:00,-71.89449103753014,-4.3,571.0,2.7,-78.34544588098176,6.450954843451612,-76.45768180579324,1.8,2.7,549.0,-82.95361606989583,-2.5,2.7,495.0,-84.36888297468263,-1.7,2.0,486.0,-6.426686242202251,1.6883279328364154,13.088424238546004,Green
DRDN,2026-01-15 09:00:00,-88.02009925523531,-2.4,617.0,2.3,-81.59341301303306,-6.426686242202251,-71.89449103753014,-4.3,2.7,571.0,-76.45768180579324,1.8,2.7,549.0,-82.95361606989583,-2.5,2.7,495.0,-6.331908725507986,5.528865367100465,14.661442650858824,Green
DRDN,2026-01-15 10:00:00,-89.99315824779723,-0.9,620.0,2.3,-83.66124952228924,-6.331908725507986,-88.02009925523531,-2.4,2.3,617.0,-71.89449103753014,-4.3,2.7,571.0,-76.45768180579324,1.8,2.7,549.0,1.6883279328364154,6.4568485500685,3.936380441772755,Green
DRDN,2026-01-15 11:00:00,-79.57696020422298,0.8,628.0,2.3,-81.2652881370594,1.6883279328364154,-89.99315824779723,-0.9,2.3,620.0,-88.02009925523531,-2.4,2.3,617.0,-71.89449103753014,-4.3,2.7,571.0,5.528865367100465,13.088424238546004,1.525605691857372,Green
DRDN,2026-01-15 12:00:00,-72.48845563790765,1.5,639.0,1.0,-78.01732100500811,5.528865367100465,-79.57696020422298,0.8,2.3,628.0,-89.99315824779723,-0.9,2.3,620.0,-88.02009925523531,-2.4,2.3,617.0,6.4568485500685,14.661442650858824,2.721351999618463,Green
DRDN,2026-01-15 13:00:00,-69.57585937099681,0.9,587.0,1.0,-76.03270792106531,6.4568485500685,-72.48845563790765,1.5,1.0,639.0,-79.57696020422298,0.8,2.3,628.0,-89.99315824779723,-0.9,2.3,620.0,13.088424238546004,3.936380441772755,-2.460621209945259,Green
DRDN,2026-01-15 14:00:00,-62.944283682519306,0.3,576.0,1.0,-76.03270792106531,13.088424238546004,-69.57585937099681,0.9,1.0,587.0,-72.48845563790765,1.5,1.0,639.0,-79.57696020422298,0.8,2.3,628.0,14.661442650858824,1.525605691857372,0.3601187705245294,Green
DRDN,2026-01-15 15:00:00,-56.370714853593405,-1.6,593.0,3.0,-71.03215750445223,14.661442650858824,-62.944283682519306,0.3,1.0,576.0,-69.57585937099681,0.9,1.0,587.0,-72.48845563790765,1.5,1.0,639.0,3.936380441772755,2.721351999618463,1.1482146201273125,Green
DRDN,2026-01-15 16:00:00,-62.3236910849853,-0.4,621.0,3.0,-66.26007152675805,3.936380441772755,-56.370714853593405,-1.6,3.0,593.0,-62.944283682519306,0.3,1.0,576.0,-69.57585937099681,0.9,1.0,587.0,1.525605691857372,-2.460621209945259,0.8749821478204183,Green
DRDN,2026-01-15 17:00:00,-61.10838169189493,-0.7,628.0,3.0,-62.6339873837523,1.525605691857372,-62.3236910849853,-0.4,3.0,621.0,-56.370714853593405,-1.6,3.0,593.0,-62.944283682519306,0.3,1.0,576.0,2.721351999618463,0.3601187705245294,3.69476807974592,Green
DRDN,2026-01-15 18:00:00,-58.99468438882165,-0.5,626.0,3.0,-61.71603638844012,2.721351999618463,-61.10838169189493,-0.7,3.0,628.0,-62.3236910849853,-0.4,3.0,621.0,-56.370714853593405,-1.6,3.0,593.0,-2.460621209945259,1.1482146201273125,5.699929170007522,Green
DRDN,2026-01-15 19:00:00,-64.17665759838538,-1.9,615.0,3.0,-61.71603638844012,-2.460621209945259,-58.99468438882165,-0.5,3.0,626.0,-61.10838169189493,-0.7,3.0,628.0,-62.3236910849853,-0.4,3.0,621.0,0.3601187705245294,0.8749821478204183,-2.9550239243025302,Green
DRDN,2026-01-15 20:00:00,-60.38814415084587,-0.5,611.0,3.0,-60.7482629213704,0.3601187705245294,-64.17665759838538,-1.9,3.0,615.0,-58.99468438882165,-0.5,3.0,626.0,-61.10838169189493,-0.7,3.0,628.0,1.1482146201273125,3.69476807974592,-13.846528263449017,Green
DRDN,2026-01-15 21:00:00,-59.600048301243085,2.5,599.0,2.3,-60.7482629213704,1.1482146201273125,-60.38814415084587,-0.5,3.0,611.0,-64.17665759838538,-1.9,3.0,615.0,-58.99468438882165,-0.5,3.0,626.0,0.8749821478204183,5.699929170007522,-20.74657730683245,Green
DRDN,2026-01-15 22:00:00,-59.11911407822406,1.6,607.0,2.3,-59.99409622604448,0.8749821478204183,-59.600048301243085,2.5,2.3,599.0,-60.38814415084587,-0.5,3.0,611.0,-64.17665759838538,-1.9,3.0,615.0,3.69476807974592,-2.9550239243025302,-19.89301369555585,Green
DRDN,2026-01-15 23:00:00,-55.664813109987655,1.8,587.0,2.3,-59.359581189733575,3.69476807974592,-59.11911407822406,1.6,2.3,607.0,-59.600048301243085,2.5,2.3,599.0,-60.38814415084587,-0.5,3.0,611.0,5.699929170007522,-13.846528263449017,-21.13323729100273,Green
