station,datetime,TEC,Bz_GSM,speed_kms,Kp
DRDN,2026-01-15 00:00:00,-52.18058929004609,1.1,567.0,2.7
DRDN,2026-01-15 01:00:00,-60.15637949921634,-0.6,550.0,2.7
DRDN,2026-01-15 02:00:00,-70.37222134604356,0.0,542.0,2.7
DRDN,2026-01-15 03:00:00,-76.07107396640471,2.3,521.0,2.0
DRDN,2026-01-15 04:00:00,-80.23320995617027,1.3,509.0,2.0
DRDN,2026-01-15 05:00:00,-84.36888297468263,-1.7,486.0,2.0
DRDN,2026-01-15 06:00:00,-82.95361606989583,-2.5,495.0,2.7
DRDN,2026-01-15 07:00:00,-76.45768180579324,1.8,549.0,2.7
DRDN,2026-01-15 08:00:00,-71.89449103753014,-4.3,571.0,2.7
DRDN,2026-01-15 09:00:00,-88.02009925523531,-2.4,617.0,2.3
DRDN,2026-01-15 10:00:00,-89.99315824779723,-0.9,620.0,2.3
DRDN,2026-01-15 11:00:00,-79.57696020422298,0.8,628.0,2.3
DRDN,2026-01-15 12:00:00,-72.48845563790765,1.5,639.0,1.0
DRDN,2026-01-15 13:00:00,-69.57585937099681,0.9,587.0,1.0
DRDN,2026-01-15 14:00:00,-62.944283682519306,0.3,576.0,1.0
DRDN,2026-01-15 15:00:00,-56.370714853593405,-1.6,593.0,3.0
DRDN,2026-01-15 16:00:00,-62.3236910849853,-0.4,621.0,3.0
DRDN,2026-01-15 17:00:00,-61.10838169189493,-0.7,628.0,3.0
DRDN,2026-01-15 18:00:00,-58.99468438882165,-0.5,626.0,3.0
DRDN,2026-01-15 19:00:00,-64.17665759838538,-1.9,615.0,3.0
DRDN,2026-01-15 20:00:00,-60.38814415084587,-0.5,611.0,3.0
DRDN,2026-01-15 21:00:00,-59.600048301243085,2.5,599.0,2.3
DRDN,2026-01-15 22:00:00,-59.11911407822406,1.6,607.0,2.3
DRDN,2026-01-15 23:00:00,-55.664813109987655,1.8,587.0,2.3
DRDN,2026-01-16 00:00:00,-53.65965201972605,2.2,550.0,3.3
DRDN,2026-01-16 01:00:00,-62.314605114036105,0.5,550.0,3.3
DRDN,2026-01-16 02:00:00,-73.20610945318259,4.3,563.0,3.3
DRDN,2026-01-16 03:00:00,-81.46343690296253,2.5,594.0,3.7
DRDN,2026-01-16 04:00:00,-87.6533709791652,0.4,664.0,3.7
DRDN,2026-01-16 05:00:00,-98.4680104690753,2.0,707.0,3.7
DRDN,2026-01-16 06:00:00,-95.85286605282295,-1.4,688.0,3.3
DRDN,2026-01-16 07:00:00,-83.09056538493529,1.5,679.0,3.3
DRDN,2026-01-16 08:00:00,-80.19664346622658,1.0,679.0,3.3
DRDN,2026-01-16 09:00:00,-94.38360832078905,-0.4,656.0,2.7
DRDN,2026-01-16 10:00:00,-87.96555271719117,2.3,612.0,2.7
DRDN,2026-01-16 11:00:00,-77.99563887448535,5.8,604.0,2.7
DRDN,2026-01-16 12:00:00,-71.13717164093836,2.6,608.0,3.3
DRDN,2026-01-16 13:00:00,-72.07663923039796,4.0,653.0,3.3
